titles,category
"""코스피, 고점 대비 20% 밀리면 강세장 종결 의심해야""",Economics
코스피 장 초반 5%대 급락… 변동성 확대,Economics
코스피 급락에 환율 1540원 육박…외국인 순매도 부담,Economics
"""버티면 먹는다?""...'1만피' 전망 또 나왔다",Economics
"'젠슨 황의 귀환' 성지 된 치킨집…""1차서만 200~300만원 매출""",Economics
"코스피, 8100선까지 '뚝'…브로드컴 쇼크에 SK하이닉스 8% 하락",Economics
"[아침밥] SK증권 ""에이텀, 평판형 트랜스와 데이터센터로 성장축 확대""",Economics
'스벅 사태'에 밈마케팅 피하는 식음료계…'사건 정리표'도 등장,Economics
"앱클론 “기술이전 위암 치료제, 글로벌 3상 첫 환자 투약 완료”",Economics
젠승 황 ‘제2의 깐부 회동’은 홍대 ‘형님 저요’서 삼겹살,Economics
"신영증권, 1조원 규모 자사주 소각에 13%↑",Economics
"젠슨 황 오는 날 코스피 털썩, 8100선까지 후퇴…삼전닉스 6% 이상 뚝",Economics
"'브로드컴 여파' SK하이닉스, 장 초반 7%↓…삼전 5% 급락",Economics
"코스피, 장 초반 6% 가까이 급락…매도 사이드카 발동",Economics
코스피 매도 사이드카 발동…장 초반 8200선까지 밀려 [투자360],Economics
‘브로드컴 쇼크’에 혼조 마감…다우 1.7%↑·나스닥 0.1%↓[뉴욕증시],Economics
8100선 밀려난 코스피 급락에…달러·원 환율 1540원 육박,Economics
"젠슨 황, 홍대 고깃집에서 韓기업 총수들과 '삼겹살 회동'",Economics
"“입자면서 파동인 ‘빛의 이중성’, 한국계 미국인인 내 정체성과 닮아”[M 인터뷰]",Economics
오세훈 역전승에…'고터 재개발 테마주' 이틀째 '들썩',Economics
“중국산 배터리 빈자리는 한국이”…부활 날갯짓하는 K배터리,Economics
사상최대 실적인데 주가는 너무 짜네…모두가 반등 외치는 키움증권,Economics
"스페이스X 상장, 증시 빨아들일까 새 투자 부를까",Economics
"5거래일간 104→153→110만원…LG이노텍, 증권가는 “200만원 간다” [오늘 나온 보고서]",Economics
"신영증권, 대규모 자사주 소각 결정 소식에 급등",Economics
"HD현대, SMR 추진선 개발 속도… 자동차운반선으로 선종 확대",Economics
"'TIGER 미국우주테크' ETF, 순자산 2조원 돌파",Economics
"코스피, 장 초반 4%대 급락...매도 사이드카 발동",Economics
"에이텀, 국내 유일 평판형 트랜스 기술 보유…AI 데이터센터 핵심 부각",Economics
"[속보]코스피, 4%대 급락에 매도 사이드카 발동",Economics
반도체 쇼크에 코스피 4% 급락 출발…환율 1530원 육박,Economics
미국발 반도체 찬바람에 코스피 급락…매도 사이드카 발동,Economics
[속보] 코스피 장 초반 4%대 급락…매도 사이드카 발동,Economics
美 반도체 부진에 장 초반 삼성전자 6%↓SK하이닉스 7%↓[핫스탁],Economics
"""오늘 예약 마감입니다""…젠슨 황 '삼소회동' 식당 공개됐다",Economics
스페이스X도 예외 없다…S&P500 조기 편입 불허,Economics
김성환 “산업용 전기요금 하향 필요…글로벌 경쟁해야”,Economics
"이동철 전 KB금융지주 부회장, 차기 여신협회장 최종 후보 낙점",Economics
구윤철 “재정·성장 선순환…변동성·물가엔 경각심”,Economics
"LG이노텍, 반도체기판 생산 이원화…2030년 매출 3조 키운다",Economics
"LS,  LS전선의 실적 개선 및 지주회사 재평가 기대…'매수'-NH",Economics
